▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.0.25:3001
- Environments: .env.local
✓ Ready in 607ms

⚠ metadataBase property in metadata export is not set for resolving social open graph or twitter images, using "http://localhost:3001". See https://nextjs.org/docs/app/api-reference/functions/generate-metadata#metadatabase
 GET /ja 200 in 1546ms (next.js: 1001ms, proxy.ts: 21ms, application-code: 523ms)
 GET /en 200 in 95ms (next.js: 12ms, proxy.ts: 6ms, application-code: 77ms)
 GET /en 200 in 93ms (next.js: 5ms, proxy.ts: 5ms, application-code: 82ms)
 GET /ja 200 in 97ms (next.js: 6ms, proxy.ts: 5ms, application-code: 86ms)
 GET /ja 200 in 99ms (next.js: 8ms, proxy.ts: 6ms, application-code: 85ms)
 GET /ja 200 in 91ms (next.js: 6ms, proxy.ts: 6ms, application-code: 79ms)
 GET /ja 200 in 89ms (next.js: 12ms, proxy.ts: 5ms, application-code: 72ms)
 GET /en/patches 200 in 1122ms (next.js: 1002ms, proxy.ts: 6ms, application-code: 114ms)
 GET /en/patches 200 in 112ms (next.js: 13ms, proxy.ts: 6ms, application-code: 94ms)
 GET /en/patches 200 in 90ms (next.js: 7ms, proxy.ts: 6ms, application-code: 78ms)
 GET /en/champions/Garen 200 in 1132ms (next.js: 1018ms, proxy.ts: 6ms, application-code: 108ms)
 GET /en/champions/Garen 200 in 83ms (next.js: 13ms, proxy.ts: 8ms, application-code: 62ms)
 GET /ja 200 in 102ms (next.js: 13ms, proxy.ts: 6ms, application-code: 83ms)
 GET /en 200 in 140ms (next.js: 7ms, proxy.ts: 7ms, application-code: 126ms)
 GET /ja/champions 200 in 1058ms (next.js: 968ms, proxy.ts: 6ms, application-code: 84ms)
 GET /en/champions 200 in 75ms (next.js: 11ms, proxy.ts: 4ms, application-code: 60ms)
 GET /ja/champions/Norra 200 in 91ms (next.js: 12ms, proxy.ts: 5ms, application-code: 75ms)
